GKDD-3518-MONOMER	GKDD-3518		hypothetical protein	
GKDD-4121-MONOMER	GKDD-4121		outer membrane protease	
GKDD-3723-MONOMER	GKDD-3723		hypothetical protein	
GKDD-4089-MONOMER	GKDD-4089		secreted protein	
GKDD-1528-MONOMER	GKDD-1528		3-oxoacyl-ACP synthase	
GKDD-935-MONOMER	GKDD-935		insertion element IS1661 DNA-binding protein	
GKDD-2450-MONOMER	GKDD-2450		hypothetical protein	
GKDD-1554-MONOMER	GKDD-1554		N-acetyl-D-glucosamine kinase	
GKDD-1142-MONOMER	GKDD-1142		amino acid decarboxylase	
GKDD-861-MONOMER	GKDD-861		ribose-5-phosphate isomerase A	
GKDD-3385-MONOMER	GKDD-3385		hypothetical protein	
GKDD-2193-MONOMER	GKDD-2193		acid shock protein	
GKDD-3036-MONOMER	GKDD-3036		fructokinase	
GKDD-436-MONOMER	GKDD-436		right origin-binding protein	
GKDD-2976-MONOMER	GKDD-2976		AsnC family transcriptional regulator	
GKDD-1191-MONOMER	GKDD-1191		bacteriophage tail fiber protein	
GKDD-2645-MONOMER	GKDD-2645		DNA-binding protein	
GKDD-603-MONOMER	GKDD-603		LysR family transcriptional regulator	
GKDD-2528-MONOMER	GKDD-2528		urease accessory protein UreE	
GKDD-2047-MONOMER	GKDD-2047		protease 4	
GKDD-392-MONOMER	GKDD-392		hypothetical protein	
GKDD-3870-MONOMER	GKDD-3870		selenocysteine synthase	
GKDD-2800-MONOMER	GKDD-2800		dimethyl sulfoxide reductase subunit B	
GKDD-2261-MONOMER	GKDD-2261		DNA-binding transcriptional repressor PurR	
GKDD-142-MONOMER	GKDD-142		peptidoglycan synthetase	
GKDD-2764-MONOMER	GKDD-2764		hypothetical protein	
GKDD-1994-MONOMER	GKDD-1994		hypothetical protein	
GKDD-2634-MONOMER	GKDD-2634		3-octaprenyl-4-hydroxybenzoate carboxy-lyase	
GKDD-418-MONOMER	GKDD-418		Na+ dependent nucleoside transporter family protein	
GKDD-3500-MONOMER	GKDD-3500		hypothetical protein	
GKDD-2869-MONOMER	GKDD-2869		coproporphyrinogen III oxidase	
GKDD-81-MONOMER	GKDD-81		ferrous iron efflux protein F	
GKDD-2565-MONOMER	GKDD-2565		uracil-DNA glycosylase	
GKDD-1421-MONOMER	GKDD-1421		hypothetical protein	
GKDD-887-MONOMER	GKDD-887		pyrroline-5-carboxylate reductase	
GKDD-1384-MONOMER	GKDD-1384		short chain dehydrogenase	
GKDD-1852-MONOMER	GKDD-1852		thioredoxin	
GKDD-1296-MONOMER	GKDD-1296		macrolide transporter ATP-binding /permease	
GKDD-4017-MONOMER	GKDD-4017		putative DNA-binding protein	
GKDD-2194-MONOMER	GKDD-2194		pepetidase	
GKDD-3103-MONOMER	GKDD-3103		outer membrane protein assembly complex subunit YfiO	
GKDD-620-MONOMER	GKDD-620		signal transduction protein	
GKDD-305-MONOMER	GKDD-305		LexA repressor	
GKDD-97-MONOMER	GKDD-97		transposase for the IS1541 insertion element	
GKDD-1577-MONOMER	GKDD-1577		zinc-binding dehydrogenase	
GKDD-1267-MONOMER	GKDD-1267		putrescine ABC transporter membrane protein	
GKDD-2817-MONOMER	GKDD-2817		nucleoside permease	
GKDD-792-MONOMER	GKDD-792		regulatory protein	
GKDD-1975-MONOMER	GKDD-1975		septum formation inhibitor	
GKDD-1641-MONOMER	GKDD-1641		sugar ABC transporter	
GKDD-2325-MONOMER	GKDD-2325		N-acylhomoserine lactone synthase	
GKDD-2670-MONOMER	GKDD-2670		hypothetical protein	
GKDD-946-MONOMER	GKDD-946		hypothetical protein	
GKDD-1995-MONOMER	GKDD-1995		hypothetical protein	
GKDD-2428-MONOMER	GKDD-2428		hypothetical protein	
GKDD-1088-MONOMER	GKDD-1088		molybdate ABC transporter permease	
GKDD-901-MONOMER	GKDD-901		sugar transport system permease	
GKDD-3902-MONOMER	GKDD-3902		transposase for insertion sequence IS1661	
GKDD-3161-MONOMER	GKDD-3161		hypothetical protein	
GKDD-390-MONOMER	GKDD-390		PTS system fructose-family transporter subunit IIC	
GKDD-1449-MONOMER	GKDD-1449		transposase for the IS1541 insertion element	
GKDD-3809-MONOMER	GKDD-3809		hypothetical protein	
GKDD-3199-MONOMER	GKDD-3199		superoxide dismutase	
GKDD-1689-MONOMER	GKDD-1689		4-hydroxyphenylacetate permease	
GKDD-1238-MONOMER	GKDD-1238		chaperone protein PsaB	
GKDD-2078-MONOMER	GKDD-2078		hypothetical protein	
GKDD-1486-MONOMER	GKDD-1486		transposase for the IS285 insertion element	
GKDD-217-MONOMER	GKDD-217		50S ribosomal protein L18	
GKDD-2195-MONOMER	GKDD-2195		DNA-binding phage-related protein	
GKDD-3037-MONOMER	GKDD-3037		recombination associated protein	
GKDD-3293-MONOMER	GKDD-3293		hypothetical protein	
GKDD-1521-MONOMER	GKDD-1521		hypothetical protein	
GKDD-1159-MONOMER	GKDD-1159		hypothetical protein	
GKDD-644-MONOMER	GKDD-644		hypothetical protein	
GKDD-2977-MONOMER	GKDD-2977		pyridoxal-phosphate dependent protein	
GKDD-1209-MONOMER	GKDD-1209		ABC transporter integral membrane protein	
GKDD-594-MONOMER	GKDD-594		hypothetical protein	
GKDD-2591-MONOMER	GKDD-2591		hypothetical protein	
GKDD-1996-MONOMER	GKDD-1996		transposase for the IS285 insertion element	
GKDD-3180-MONOMER	GKDD-3180		protein-L-isoaspartate O-methyltransferase	
GKDD-2262-MONOMER	GKDD-2262		DNA-binding transcriptional regulator	
GKDD-3839-MONOMER	GKDD-3839		histidine ammonia-lyase	
GKDD-17-MONOMER	GKDD-17		molybdopterin-guanine dinucleotide biosynthesis protein B	
GKDD-2870-MONOMER	GKDD-2870		hypothetical protein	
GKDD-1468-MONOMER	GKDD-1468		UTP-glucose-1-phosphate uridylyltransferase	
GKDD-2107-MONOMER	GKDD-2107		GTP cyclohydrolase II	
GKDD-635-MONOMER	GKDD-635		cyclic 3',5'-adenosine monophosphate phosphodiesterase	
GKDD-823-MONOMER	GKDD-823		hypothetical protein	
GKDD-1793-MONOMER	GKDD-1793		hypothetical protein	
GKDD-3613-MONOMER	GKDD-3613		carbon starvation protein	
GKDD-206-MONOMER	GKDD-206		50S ribosomal protein L22	
GKDD-1867-MONOMER	GKDD-1867		arginine succinyltransferase	
GKDD-592-MONOMER	GKDD-592		hypothetical protein	
GKDD-2793-MONOMER	GKDD-2793		iron(III)-binding protein	
GKDD-1822-MONOMER	GKDD-1822		salicylate synthase Irp9	
GKDD-1737-MONOMER	GKDD-1737		hypothetical protein	
GKDD-410-MONOMER	GKDD-410		16S ribosomal RNA m2G1207 methyltransferase	
GKDD-1755-MONOMER	GKDD-1755		AraC family transcriptional regulator	
GKDD-2196-MONOMER	GKDD-2196		hypothetical protein	
GKDD-3233-MONOMER	GKDD-3233		hypothetical protein	
GKDD-1337-MONOMER	GKDD-1337		transposase for the IS1541 insertion element	
GKDD-3104-MONOMER	GKDD-3104		sigma 54 modulation protein	
GKDD-2925-MONOMER	GKDD-2925		hypothetical protein	
GKDD-2379-MONOMER	GKDD-2379		glutamine ABC transporter substrate-binding protein	
GKDD-440-MONOMER	GKDD-440		homoserine kinase	
GKDD-1360-MONOMER	GKDD-1360		hypothetical protein	
GKDD-1997-MONOMER	GKDD-1997		hypothetical protein	
GKDD-1629-MONOMER	GKDD-1629		chaperone protein	
GKDD-3965-MONOMER	GKDD-3965		hypothetical protein	
GKDD-741-MONOMER	GKDD-741		prolipoprotein diacylglyceryl transferase	
GKDD-1376-MONOMER	GKDD-1376		acylphosphatase	
GKDD-1400-MONOMER	GKDD-1400		hypothetical protein	
GKDD-1282-MONOMER	GKDD-1282		arginine-binding periplasmic protein 1	
GKDD-2326-MONOMER	GKDD-2326		quorum-sensing transcriptional activator YpeR	
GKDD-763-MONOMER	GKDD-763		general secretion pathway protein K	
GKDD-3286-MONOMER	GKDD-3286		hypothetical protein	
GKDD-4028-MONOMER	GKDD-4028		hypothetical protein	
GKDD-1570-MONOMER	GKDD-1570		hypothetical protein	
GKDD-467-MONOMER	GKDD-467		hypothetical protein	
GKDD-3800-MONOMER	GKDD-3800		methyltransferase	
GKDD-1136-MONOMER	GKDD-1136		pyridoxal-dependent decarboxylase	
GKDD-3475-MONOMER	GKDD-3475		acetyl-CoA carboxylase biotin carboxylase subunit	
GKDD-652-MONOMER	GKDD-652		hypothetical protein	
GKDD-1589-MONOMER	GKDD-1589		chemotaxis protein CheA	
GKDD-964-MONOMER	GKDD-964		murein transglycosylase A	
GKDD-2451-MONOMER	GKDD-2451		hypothetical protein	
GKDD-3268-MONOMER	GKDD-3268		ornithine carbamoyltransferase subunit I	
GKDD-1882-MONOMER	GKDD-1882		dehydrogenase	
